# freq (s^-1)	PSD (strain^2 s)
9.000000e+00	1.734336e-22
9.250000e+00	1.633242e-22
9.500000e+00	1.540513e-22
9.750000e+00	1.455259e-22
1.000000e+01	1.376701e-22
1.025000e+01	1.304161e-22
1.050000e+01	1.237044e-22
1.075000e+01	1.174826e-22
1.100000e+01	1.117044e-22
1.125000e+01	1.063290e-22
1.150000e+01	1.013200e-22
1.175000e+01	9.664505e-23
1.200000e+01	9.227538e-23
1.225000e+01	8.818513e-23
1.250000e+01	8.435117e-23
1.275000e+01	8.075268e-23
1.300000e+01	7.737093e-23
1.325000e+01	7.418899e-23
1.350000e+01	7.119157e-23
1.375000e+01	6.836479e-23
1.400000e+01	6.569606e-23
1.425000e+01	6.317394e-23
1.450000e+01	6.078797e-23
1.475000e+01	5.852864e-23
1.500000e+01	5.638723e-23
1.525000e+01	5.435578e-23
1.550000e+01	5.242697e-23
1.575000e+01	5.059409e-23
1.600000e+01	4.885096e-23
1.625000e+01	4.719189e-23
1.650000e+01	4.561165e-23
1.675000e+01	4.410539e-23
1.700000e+01	4.266863e-23
1.725000e+01	4.129723e-23
1.750000e+01	3.998736e-23
1.775000e+01	3.873545e-23
1.800000e+01	3.753820e-23
1.825000e+01	3.639254e-23
1.850000e+01	3.529559e-23
1.875000e+01	3.424471e-23
1.900000e+01	3.323740e-23
1.925000e+01	3.227133e-23
1.950000e+01	3.134436e-23
1.975000e+01	3.045445e-23
2.000000e+01	2.959969e-23
2.025000e+01	2.877833e-23
2.050000e+01	2.798868e-23
2.075000e+01	2.722920e-23
2.100000e+01	2.649840e-23
2.125000e+01	2.579492e-23
2.150000e+01	2.511745e-23
2.175000e+01	2.446478e-23
2.200000e+01	2.383575e-23
2.225000e+01	2.322929e-23
2.250000e+01	2.264436e-23
2.275000e+01	2.208002e-23
2.300000e+01	2.153534e-23
2.325000e+01	2.100946e-23
2.350000e+01	2.050158e-23
2.375000e+01	2.001092e-23
2.400000e+01	1.953675e-23
2.425000e+01	1.907839e-23
2.450000e+01	1.863517e-23
2.475000e+01	1.820649e-23
2.500000e+01	1.779174e-23
2.525000e+01	1.739038e-23
2.550000e+01	1.700186e-23
2.575000e+01	1.662569e-23
2.600000e+01	1.626139e-23
2.625000e+01	1.590849e-23
2.650000e+01	1.556657e-23
2.675000e+01	1.523522e-23
2.700000e+01	1.491403e-23
2.725000e+01	1.460263e-23
2.750000e+01	1.430066e-23
2.775000e+01	1.400779e-23
2.800000e+01	1.372368e-23
2.825000e+01	1.344803e-23
2.850000e+01	1.318053e-23
2.875000e+01	1.292091e-23
2.900000e+01	1.266889e-23
2.925000e+01	1.242421e-23
2.950000e+01	1.218662e-23
2.975000e+01	1.195588e-23
3.000000e+01	1.173178e-23
3.025000e+01	1.151408e-23
3.050000e+01	1.130258e-23
3.075000e+01	1.109707e-23
3.100000e+01	1.089738e-23
3.125000e+01	1.070330e-23
3.150000e+01	1.051467e-23
3.175000e+01	1.033132e-23
3.200000e+01	1.015307e-23
3.225000e+01	9.979781e-24
3.250000e+01	9.811294e-24
3.275000e+01	9.647465e-24
3.300000e+01	9.488155e-24
3.325000e+01	9.333229e-24
3.350000e+01	9.182559e-24
3.375000e+01	9.036021e-24
3.400000e+01	8.893493e-24
3.425000e+01	8.754862e-24
3.450000e+01	8.620016e-24
3.475000e+01	8.488847e-24
3.500000e+01	8.361252e-24
3.525000e+01	8.237131e-24
3.550000e+01	8.116388e-24
3.575000e+01	7.998931e-24
3.600000e+01	7.884668e-24
3.625000e+01	7.773513e-24
3.650000e+01	7.665383e-24
3.675000e+01	7.560196e-24
3.700000e+01	7.457874e-24
3.725000e+01	7.358341e-24
3.750000e+01	7.261523e-24
3.775000e+01	7.167350e-24
3.800000e+01	7.075752e-24
3.825000e+01	6.986662e-24
3.850000e+01	6.900016e-24
3.875000e+01	6.815752e-24
3.900000e+01	6.733807e-24
3.925000e+01	6.654124e-24
3.950000e+01	6.576645e-24
3.975000e+01	6.501314e-24
4.000000e+01	6.428077e-24
4.025000e+01	6.356882e-24
4.050000e+01	6.287678e-24
4.075000e+01	6.220415e-24
4.100000e+01	6.155046e-24
4.125000e+01	6.091522e-24
4.150000e+01	6.029799e-24
4.175000e+01	5.969832e-24
4.200000e+01	5.911578e-24
4.225000e+01	5.854995e-24
4.250000e+01	5.800042e-24
4.275000e+01	5.746679e-24
4.300000e+01	5.694867e-24
4.325000e+01	5.644568e-24
4.350000e+01	5.595745e-24
