% Freq (Hz)	Omega_0(f)	2*sigma(f)
2.000000e+01	-4.325643e-06	8.225769e-06
2.003125e+01	-1.989952e-06	8.014382e-06
2.006250e+01	-6.283566e-06	7.829835e-06
2.009375e+01	-1.108386e-06	7.591174e-06
2.012500e+01	-8.395755e-07	7.529321e-06
2.015625e+01	-1.895412e-06	7.449809e-06
2.018750e+01	4.757486e-06	7.587663e-06
2.025000e+01	-4.463141e-06	7.632122e-06
2.028125e+01	2.337007e-06	7.190214e-06
2.031250e+01	1.612581e-06	7.129046e-06
2.034375e+01	1.518710e-06	7.161240e-06
2.037500e+01	5.272957e-06	7.345629e-06
2.043750e+01	-2.451114e-06	8.010458e-06
2.046875e+01	-1.134917e-06	8.342348e-06
2.053125e+01	-3.802509e-06	7.732713e-06
2.056250e+01	2.488266e-06	7.007738e-06
2.059375e+01	-2.536368e-06	6.681121e-06
2.062500e+01	2.026625e-06	6.419605e-06
2.065625e+01	-7.032787e-07	6.279636e-06
2.068750e+01	2.102808e-06	6.214962e-06
2.071875e+01	4.127247e-06	6.278693e-06
2.075000e+01	-6.176807e-07	6.192915e-06
2.078125e+01	-1.291264e-07	5.933857e-06
2.081250e+01	-1.463552e-06	5.855050e-06
2.084375e+01	-2.378463e-07	5.808081e-06
2.087500e+01	-3.199293e-06	5.748857e-06
2.090625e+01	-5.542821e-06	5.741516e-06
2.093750e+01	-1.763961e-06	5.859482e-06
2.096875e+01	1.299062e-06	5.746429e-06
2.100000e+01	-2.593432e-06	5.803837e-06
2.103125e+01	-1.464488e-06	5.664866e-06
2.106250e+01	-4.980556e-06	5.552061e-06
2.109375e+01	2.542979e-06	5.487342e-06
2.112500e+01	-2.876073e-06	5.393244e-06
2.115625e+01	2.886808e-06	5.307816e-06
2.118750e+01	3.092574e-06	5.212820e-06
2.121875e+01	3.907282e-06	5.181061e-06
2.125000e+01	2.887542e-06	5.242362e-06
2.128125e+01	1.513048e-06	5.059036e-06
2.131250e+01	-3.934000e-06	4.971584e-06
2.134375e+01	-1.503150e-06	4.967405e-06
2.137500e+01	-1.353279e-07	5.007081e-06
2.140625e+01	-8.323395e-07	5.138552e-06
2.143750e+01	4.195209e-06	4.956771e-06
2.146875e+01	-4.355964e-06	5.108907e-06
2.153125e+01	-1.577505e-06	4.910180e-06
2.156250e+01	-4.570880e-06	4.458213e-06
2.159375e+01	-2.424888e-06	4.401185e-06
2.162500e+01	3.125529e-06	4.347376e-06
2.165625e+01	-1.297960e-06	4.336720e-06
2.168750e+01	4.939825e-06	4.427977e-06
2.171875e+01	4.880624e-06	4.462434e-06
2.175000e+01	-6.082270e-07	4.332580e-06
2.178125e+01	4.069190e-06	4.284460e-06
2.181250e+01	-8.757514e-07	4.332203e-06
2.184375e+01	-1.426683e-06	4.278910e-06
2.187500e+01	2.453525e-06	4.203779e-06
2.190625e+01	-2.766016e-06	4.194670e-06
2.193750e+01	-6.747247e-07	4.186577e-06
2.196875e+01	-1.056722e-06	4.178731e-06
2.200000e+01	-3.112562e-07	4.200522e-06
2.203125e+01	-5.628124e-08	4.071223e-06
2.206250e+01	-3.633769e-06	3.982210e-06
2.209375e+01	9.783935e-07	3.962298e-06
2.212500e+01	-1.690869e-06	3.920886e-06
2.215625e+01	-3.187132e-06	3.857970e-06
2.218750e+01	9.251356e-07	3.857052e-06
2.221875e+01	2.713407e-06	3.947208e-06
2.225000e+01	1.638173e-06	4.023341e-06
2.228125e+01	-1.508518e-06	3.826420e-06
2.231250e+01	-5.137066e-07	3.717155e-06
2.234375e+01	2.974949e-06	3.693827e-06
2.237500e+01	-2.298170e-06	3.660145e-06
2.240625e+01	1.813235e-06	3.654093e-06
2.243750e+01	-3.145626e-06	3.684391e-06
2.246875e+01	-3.012723e-06	3.950063e-06
2.253125e+01	-1.606365e-06	3.874605e-06
2.256250e+01	1.267216e-07	3.557858e-06
2.259375e+01	1.795633e-06	3.564386e-06
2.262500e+01	2.455096e-06	3.568270e-06
2.265625e+01	8.426417e-07	3.590795e-06
2.268750e+01	-6.923615e-07	3.759433e-06
2.271875e+01	9.320230e-07	3.708462e-06
2.275000e+01	3.690182e-07	3.540019e-06
2.278125e+01	-2.892692e-06	3.512621e-06
2.281250e+01	1.253970e-06	3.591349e-06
2.284375e+01	1.951660e-07	3.517042e-06
2.287500e+01	-1.363765e-06	3.456401e-06
2.290625e+01	-1.520506e-06	3.435717e-06
2.293750e+01	-3.677162e-06	3.417635e-06
2.296875e+01	-6.537583e-08	3.426149e-06
2.300000e+01	3.693061e-06	3.455986e-06
2.303125e+01	-7.202169e-07	3.406351e-06
2.306250e+01	2.566531e-06	3.396029e-06
2.309375e+01	-1.908395e-06	3.390824e-06
2.312500e+01	-2.161063e-06	3.396708e-06
2.315625e+01	2.598945e-06	3.394842e-06
2.318750e+01	-7.834517e-07	3.393688e-06
2.321875e+01	5.777279e-07	3.501762e-06
2.325000e+01	-9.968223e-08	3.691952e-06
